comment_id,text
Ugx6DWB8bUSBs_Jqp_J4AaABAg,anyone from 2025
UgyC0EJ2EjL_sicDZ7N4AaABAg,sidhu moose wala lovers kidher hain ?
UgxP1qyutebik1UmAZp4AaABAg,2025 kon kon dekh raha hai like karo
Ugw_kBVmYJ0XBg3AIdl4AaABAg,2025 jan attendance
Ugz9mo-aVZnvDs6M6qd4AaABAg,wow 2025
UgzvFGMsovwvGCLUFBN4AaABAg,anyone from 2025 15 january
Ugxi-hTaXPei-apA-A54AaABAg,anyone in 2025
UgwrKJGFRvlfdmMuRC94AaABAg,any one 2025
UgyExn95f5ZDFjBgLXN4AaABAg,shekh chilli sunke aya
UgzdYaQoJL0gP0y7RIZ4AaABAg,2025 mai hai koi
UgzmekehP4eMOquIiC54AaABAg,any one from 2025
Ugz36gpQGurkClLMsC94AaABAg,anyone in 2025
UgwQZmMrQrVe0L6z_Lx4AaABAg,bhai emibai bantai se panga matle bhai rafu kya samja eye bacha hai tu rafu
UgxkzSWcA6luQQSRVrp4AaABAg,kon kon 2025 me sun raha he
UgxMiZLelTkmngOdgbF4AaABAg,"anyone from 2025 a href"""
UgzSNzBlRVJk7b7etKB4AaABAg,2025 still gives chills the era of diss
Ugy0JdyPwtmd_nfAwU94AaABAg,anyone from 2025?
UgzKy7DPnng7Uql998R4AaABAg,2025 me kon kon dekra
UgzgwP41jwpSkLOCdOJ4AaABAg,2025 me bhi sunn rahe h
UgyQSKrA_ZrmPPy2bM94AaABAg,anyone in 2025 ?
Ugyn4krxA9VfvCc2joR4AaABAg,2025 any one?
UgyX28KN9PNVttkTSSJ4AaABAg,2025 main kon kon hai
UgyQwmZ5Fi8PDFWZjCV4AaABAg,mujhse panga liya he brsehana padega
UgyEPh0pDyRZL5X7Ajh4AaABAg,any 2025
UgwJQwD_RQSKe0x1Up94AaABAg,
UgzJrmUSRxc0bkMnlah4AaABAg,anyone from 2025 ??
Ugx8q7E-Tsz-ungEROZ4AaABAg,anyone from 2025 ?
UgyebbE_vabKlCqxMV14AaABAg,any from 2025 ?
UgwSESLmgYrt8i2yfsx4AaABAg,king of rap industry
UgwFF_DxhXgEBLDobtl4AaABAg,
UgwI3saYzZQmqts8ulF4AaABAg,giragtaarbrraftaar
Ugx3wFDABtOT9dGVO1d4AaABAg,sachha musalman hu yeline bilkul sahi boli hai aapne
UgzpHRH3Yg7S8wR7fCR4AaABAg,anyone 2025
UgyzDs8D3raPaCBRlUV4AaABAg,who39;s rewhech 2025 ?
Ugy0TUmHEVxk-V46rqd4AaABAg,koun koun 2025 wala hai
Ugz0aFkYPNgltlbppxR4AaABAg,who hear in 2025
UgxOyLeku2RYizaW6fh4AaABAg,anyone from. 2025 ?
UgxgDF-qV24HZcKgxNx4AaABAg,muh lo
Ugx6ofUgouuXbbbnVLh4AaABAg,anyone from 2025?
Ugyetvp_m1JeurSgY6x4AaABAg,2025 bolte
UgwoPmx3Y0SNYWr41pF4AaABAg,2025
UgymtiC4VxwFncLlM1d4AaABAg,anyone from 2025 ?
UgxhilUT0XedgDHosOR4AaABAg,anyone 2025
UgzLT_SE1ozT8lgexNl4AaABAg,anyone in 2025?
Ugw-7K7kqLIkgGyUrgV4AaABAg,mohalle me dj par baja diya
UgyvUF-1FpuNXW_zN494AaABAg,i felt lucky to witnessed this rap battle
UgyaeZZsbJXiLjRUVxF4AaABAg,according to emiway song is just to screammm brbahi nahi jama gana. brbrit is clear raftar won the game brbrbrbremiway is just too overrated
UgwjW1muA1_Du__Ngmd4AaABAg,anyone from 2025?
UgxdqzLcIcf8aBpfZN94AaABAg,anyone 2k25
UgzcmpgGWLeP_4zDFzp4AaABAg,anyone from 2025 ?
Ugz1LPQyqcgtO-IhuER4AaABAg,anyone in 2025???
UgzoLU9wB-wlgtKZCxJ4AaABAg,anyone from 2025?
Ugw5kMf_ndOxJQMRMb54AaABAg,anyone from 2025?
UgwYJkgURwXa3rLclwl4AaABAg,cool
UgyuhCoxSWsV0k1kUpR4AaABAg,2025?
Ugygb50-vEWxT8CZljd4AaABAg,any one in 2025
Ugyp___SwReRQfFzP3h4AaABAg,who is listening 2025
UgwuOYi4fwX8eqRhFS54AaABAg,any one 2025
UgxSRPbJe33pgewtiWF4AaABAg,anyone from 2025??
Ugy-6eqKxX3L8yL7TKZ4AaABAg,anyone 2025
Ugw710V0pupnhK98Mah4AaABAg,anyone in 2025
UgzK2bNnfNg7LddvBQd4AaABAg,anyone from 2025?
UgzZXHyWbPk-5gsPqq54AaABAg,anyone 2030???
Ugz3N9aFjP9vC2yvZiV4AaABAg,shabbas merijan
UgwdW21djlFB7Kum_Xx4AaABAg,2025?
UgykUczU-Nm8CgF8kNJ4AaABAg,anyone in 2025 ?
UgxaQxqfT4r1ns5mGel4AaABAg,2025 anyone??
UgwyfvhIY0TPPrVc7wZ4AaABAg,anyone from 2025
UgxJG22Uf9DmKPbMZ1N4AaABAg,2025 and this beef still make no sense brand where ever raftaar goes there is controversybrand emiway said mere naam tu bahot time ke baad bhi ayega
UgxMJiTmJ_HMFkpM88R4AaABAg,2025
UgzvFok0yKa78p8oHhB4AaABAg,anyone from 2025?
UgwV_C6N0NiKWVfJ4Ht4AaABAg,gana bna
Ugzc1QB0mDodLLllfqN4AaABAg,anyone 2025.?
UgyJvNDi8uHBN4_4gRx4AaABAg,bhai fir se disss kardo ...bharwe ko
UgwLcPgpCJUGE086YPt4AaABAg,2025 still enjoying
Ugwy3-5uRgX7_BFJLNd4AaABAg,2025
UgyHYIqdG76lSlkilAh4AaABAg,anyone from 2025
UgyuuqHxuwhoAtla_bl4AaABAg,anyone still here in 2025?? after 6 years of this song released...
Ugy7dJpMybzDwn0k9Rp4AaABAg,anyone from 2025
UgymznzXojJI4M8uYiR4AaABAg,2025 anyone?
UgzqmnZPODE4qGkJadV4AaABAg,anyone from 2025..?
Ugwyc88DZ5gqMwhQYqx4AaABAg,love you bro
UgxylV_qm5gf4lwr64J4AaABAg,anyone from 2025 ?
Ugy4MV-QOFNOU-vFO9F4AaABAg,neon hoodie says it all
Ugxdc-jb4qZ5Bk1s3f54AaABAg,2025?
Ugzk4RJMdFeRinc9ra94AaABAg,thankyou.........
UgyVMOCWUUpv23B_PRd4AaABAg,2025 mai koi hai kya
Ugy4tVg2uEOSVD4Jyad4AaABAg,anyone from 2025?
UgxONKnSo8e15oXFf454AaABAg,anyone from 2025
UgxwoAhUb9gLXZIWkkV4AaABAg,anyone 2027
UgwMtA8j5gDCAzhf0Pp4AaABAg,anyone 2025
UgxzzWNMVPELJaE4PZp4AaABAg,2025 phir v best beef of dhh
UgxruGcybkdUweB0l0V4AaABAg,anyone from 2025
UgwywqX9cMEQjNrWsrl4AaABAg,raftaar raaa lol
UgwUHAWeDkdMvoyuGsx4AaABAg,raftaar marbake manega
UgxZT_rKlEC4Jvn7Prh4AaABAg,akash is created new past life of akash past ko present mein le aya hai akash by using radha rani sprituality
UgxjWhQTaOFa01h2Vq94AaABAg,akash is created new past life of akash
UgziXlmIZYpQuvvk9Fl4AaABAg,anyone in 2025?
UgxANopyHbkcX13usUZ4AaABAg,anyone is 2025 ???
